(54620, 43523, 57353)
(52694, 42750, 58154)
(53253, 43024, 59668)
(54925, 42624, 58098)
(54973, 43980, 60212)
(52967, 42955, 58558)
(55143, 40238, 57238)
(53071, 44896, 57393)
(55710, 44219, 60954)
(54459, 43964, 59449)
(54467, 44351, 58116)
(53570, 41898, 56322)
(55155, 43399, 57785)
(54051, 41019, 60018)
(55335, 44023, 58845)
(54449, 42872, 58689)
(53399, 42273, 57082)
(54241, 43580, 56935)
(56000, 41710, 58391)
(53204, 42630, 60966)
(54524, 42904, 60804)
(55665, 44100, 60743)
(55829, 40780, 59138)
(54059, 42096, 59953)
(53106, 42771, 60969)
(54427, 43777, 57136)
(55368, 41828, 57366)
(53927, 45077, 56366)
(55278, 44081, 58665)
(55909, 41497, 60758)
(53344, 42929, 57980)
(55095, 42443, 59239)
(55645, 43363, 57812)
(55718, 43777, 59704)
(57115, 44424, 61020)
(54963, 44875, 59976)
(54483, 43594, 60409)
(54543, 44843, 59165)
(54263, 39356, 57762)
(53992, 42499, 58771)
(54729, 40311, 57753)
(55013, 44589, 57852)
(53332, 43782, 59079)
(52627, 41645, 56843)
(57103, 40709, 60331)
(54352, 42520, 57591)
(50478, 42084, 57063)
(54849, 41733, 56693)
(53055, 42310, 57642)
(55191, 42127, 58329)
(51936, 41784, 59112)
(54594, 44345, 57718)
(52164, 42650, 56937)
(56302, 42288, 57576)
(52913, 44156, 58613)
(53697, 46311, 60267)
(53582, 40916, 57706)
(52993, 40890, 59214)
(54222, 43822, 61073)
(52221, 43490, 57207)
(55062, 44521, 58015)
(52460, 42366, 58158)
(54341, 45492, 55203)
(52195, 42091, 58219)
(53141, 41774, 57782)
(53476, 41355, 55784)
(54256, 44048, 59345)
(56036, 42102, 59269)
(54916, 42689, 56691)
(53420, 44299, 59024)
(54924, 42079, 59110)
(56208, 41204, 58750)
(53855, 42912, 59118)
(55078, 42668, 57473)
(52975, 43407, 57935)
(52526, 43275, 58935)
(56191, 42928, 58889)
(56569, 44022, 60927)
(53730, 42300, 59624)
(56749, 45529, 58797)
(55281, 42586, 58624)
(56338, 39718, 58691)
(52456, 43210, 60046)
